NEIGHBOR_ID,PRIORITY,STATE,DEAD_TIME,ADDRESS,INTERFACE,NEIGHBOR_UPTIME
172.16.252.37,1,FULL/BDR,00:00:33,172.16.252.37,GigabitEthernet0/0/0/0,07:49:31
172.16.252.37,1,FULL/BDR,00:00:35,172.16.253.2,GigabitEthernet0/0/0/1,07:49:31
172.31.252.2,1,FULL/DR,00:00:32,172.16.253.4,GigabitEthernet0/0/0/1,07:49:33
172.16.252.25,1,FULL/BDR,00:00:34,172.16.252.25,GigabitEthernet0/0/0/2,07:46:18
172.16.252.33,1,FULL/BDR,00:00:38,172.16.252.33,GigabitEthernet0/0/0/3,07:48:12
